year,Treatment,paintmark,TRTmin,Species,sex,SVL,TL,RTL,RemTL,RemMass,propRemTL,Treatment2,TRTminLog
2015,4.0,o23b,0.36,sv,M,55.0,76.0,0,19.0,5.5,0.25,25%,-1.0216512475319814
2015,4.0,o24b,0.36,sj,M,84.0,118.0,0,31.0,19.0,0.2627118644067797,25%,-1.0216512475319814
2015,4.0,o25b,0.2,sv,F,60.0,71.0,0,18.0,6.0,0.2535211267605634,25%,-1.6094379124341003
2015,4.0,o27b,0.36,sv,F,46.0,61.0,0,18.0,3.1,0.29508196721311475,25%,-1.0216512475319814
2015,4.0,o28b,0.30000000000000004,sj,F,80.0,107.0,0,26.0,14.5,0.24299065420560748,25%,-1.203972804325936
2015,4.0,o2b,0.23,sv,M,50.0,67.0,0,19.0,,0.2835820895522388,25%,-1.4696759700589417
2015,4.0,o30b,0.46,sj,F,65.0,89.0,0,23.0,6.2,0.25842696629213485,25%,-0.7765287894989963
2015,4.0,o32b,0.4,sv,F,52.0,64.0,0,17.0,5.8,0.265625,25%,-0.916290731874155
2015,3.0,o33b,0.16,sj,F,66.0,94.0,0,72.0,9.2,0.7659574468085106,75%,-1.8325814637483102
2015,4.0,o34b,0.43,sj,M,78.0,111.0,0,27.0,17.3,0.24324324324324326,25%,-0.843970070294529
2015,4.0,o37b,0.33,sj,F,69.0,92.0,0,26.0,11.5,0.2826086956521739,25%,-1.1086626245216111
2015,4.0,o3b,0.33,sv,M,49.0,68.0,0,17.0,,0.25,25%,-1.1086626245216111
2015,4.0,o4b,0.2,sv,F,50.0,66.0,0,20.0,,0.30303030303030304,25%,-1.6094379124341003
2015,4.0,o5b,0.26,sv,F,59.0,67.0,0,17.0,,0.2537313432835821,25%,-1.3470736479666092
2015,4.0,o6b,0.4,sv,M,55.0,75.0,0,20.0,,0.26666666666666666,25%,-0.916290731874155
2015,2.0,o8b,0.30000000000000004,sv,F,50.0,64.0,0,34.0,,0.53125,50%,-1.203972804325936
2015,4.0,w38b,0.36,sv,F,55.0,67.0,0,17.0,4.8,0.2537313432835821,25%,-1.0216512475319814
2015,3.0,w44b,0.36,sj,F,79.0,107.0,0,80.0,15.0,0.7476635514018691,75%,-1.0216512475319814
2016,2.0,w.b2c,0.34,sv,M,52.0,72.0,0,32.0,0.038,0.4444444444444444,25%,-1.0788096613719298
2016,2.0,w4c,0.34,sv,M,46.0,63.0,0,35.0,0.031,0.5555555555555556,50%,-1.0788096613719298
2016,2.0,w6c,0.51,sv,F,48.0,64.0,0,32.0,0.032,0.5,50%,-0.6733445532637656
2016,2.0,w11c,0.26,sv,M,47.0,61.0,0,32.0,0.033,0.5245901639344263,50%,-1.3470736479666092
2016,4.0,w4b,0.46,sj,M,69.0,93.0,0,26.0,0.037,0.27956989247311825,25%,-0.7765287894989963
2016,4.0,w5b,0.29,sj,F,62.0,81.0,0,21.0,0.02,0.25925925925925924,25%,-1.2378743560016174
2016,4.0,w7b,0.29,sj,F,61.0,81.0,0,24.0,0.025,0.2962962962962963,25%,-1.2378743560016174
2016,4.0,w14c,0.31,sv,F,44.0,50.0,0,14.0,0.005,0.28,25%,-1.171182981502945
2016,2.0,w16c,0.16,sv,M,51.0,62.0,0,33.0,0.05,0.532258064516129,50%,-1.8325814637483102
2016,4.0,w8b,0.34,sj,M,68.0,99.0,0,27.0,0.03,0.2727272727272727,25%,-1.0788096613719298
2016,4.0,w18c,0.34,sv,F,50.0,69.0,0,20.0,0.011,0.2898550724637681,25%,-1.0788096613719298
2016,4.0,w9b,0.23,sj,F,83.0,106.0,0,28.0,0.051000000000000004,0.2641509433962264,25%,-1.4696759700589417
2016,4.0,w10b,0.29,sj,M,71.0,104.0,0,29.0,0.035,0.27884615384615385,25%,-1.2378743560016174
2016,3.0,w11b,0.34,sj,M,92.0,129.0,0,100.0,1.25,0.7751937984496124,75%,-1.0788096613719298
2016,4.0,w12b,0.29,sj,F,82.0,109.0,0,28.0,0.049,0.25688073394495414,25%,-1.2378743560016174
2016,3.0,w13b,0.26,sj,M,73.0,101.0,0,77.0,0.512,0.7623762376237624,75%,-1.3470736479666092
2016,4.0,w15b,0.34,sj,F,56.0,72.0,0,20.0,0.016,0.2777777777777778,25%,-1.0788096613719298
2016,4.0,w16b,0.34,sj,F,56.0,72.0,0,18.0,0.014,0.25,25%,-1.0788096613719298
2016,3.0,w18b,0.34,sj,F,62.0,83.0,0,21.0,0.017,0.25301204819277107,25%,-1.0788096613719298
2016,3.0,w17b,0.31,sj,F,60.0,83.0,0,65.0,0.254,0.7831325301204819,75%,-1.171182981502945
2016,4.0,w19b,0.34,sj,F,56.0,72.0,0,18.0,0.008,0.25,25%,-1.0788096613719298
2016,3.0,w20b,0.31,sj,M,86.0,116.0,0,88.0,1.165,0.7586206896551724,75%,-1.171182981502945
2016,4.0,w21b,0.71,sj,M,72.0,100.0,0,28.0,0.038,0.28,25%,-0.342490308946776
2016,4.0,w22b,0.33,sj,M,63.0,95.0,0,28.0,0.04,0.29473684210526313,25%,-1.1086626245216111
2016,4.0,w23b,0.41,sj,M,67.0,91.0,0,24.0,0.03,0.26373626373626374,25%,-0.8915981192837836
2016,4.0,w24b,0.19,sj,M,67.0,88.0,0,22.0,0.021,0.25,25%,-1.6607312068216509
2016,4.0,w25b,0.26,sj,M,86.0,122.0,0,34.0,0.099,0.2786885245901639,25%,-1.3470736479666092
2016,3.0,w26b,0.68,sj,M,70.0,99.0,0,78.0,0.513,0.7878787878787878,75%,-0.3856624808119846
