species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,year_diff,svl_diff,earliestSighting,liznumber
j,5-10-11-20,2000-03-18,f,67.0,70.0,2.0,9.0,r45c, 1m v lizard R,,recap,,shed since last recapture,nan,2000.0,2.0,autotomized,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.044776119402985,0.13432835820895522,0,0.0,2000-03-18,377
j,2-14-19,2000-03-18,f,67.0,91.0,0.0,9.0,r46c,sb at slab,,recap,,shed since last recapture,nan,2000.0,0.0,intact,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3582089552238805,0.13432835820895522,0,0.0,2000-03-18,164
j,5-8-12-20,2000-03-18,f,70.0,98.0,0.0,12.5,r47c,sb at slab,,recap,,shed since last recapture,nan,2000.0,0.0,intact,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.4,0.17857142857142858,0,0.0,2000-03-18,433
j,5-15-20,2000-03-18,f,73.0,42.0,27.0,11.3,r48c,sb at slab,,recap,,not fully shed since last recapture [o.t mark still visible; added r48c!],nan,2000.0,27.0,autotomized,recap,,True,False,False,False,False,False,False,False,False,False,False,False,0.5753424657534246,0.1547945205479452,0,0.0,2000-03-18,400
j,4-6-15-20,2000-03-18,f,51.0,67.0,0.0,3.2,r49c,Rs opp 2tripleR,,recap,,shed since last recapture [slight break on T at 22],nan,2000.0,0.0,intact,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3137254901960784,0.06274509803921569,0,0.0,2000-03-18,343
j,8-15-19,2000-03-18,m,53.0,74.0,0.0,4.4,r50c,chute,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3962264150943395,0.08301886792452831,0,0.0,2000-03-18,959
j,1-7-13-16,2000-03-18,f,72.0,64.0,48.0,11.3,r51c,chute,,recap,,not fully shed since last recapture [o|t mark still visible; added r51c!],nan,2000.0,48.0,autotomized,recap,,True,False,False,False,False,False,False,False,False,False,False,False,0.8888888888888888,0.15694444444444444,0,0.0,2000-03-18,71
j,1-6-19,2000-03-18,f,75.0,101.0,0.0,15.2,r52c,chute,,recap,,shed since last recapture,nan,2000.0,0.0,intact,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3466666666666667,0.20266666666666666,0,0.0,2000-03-18,63
j,8-15-20,2000-03-18,m,60.0,87.0,0.0,5.6,r53c,Rs lft side 10m ^ chute,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.45,0.09333333333333332,0,0.0,2000-03-18,960
j,4-13-20,2000-03-18,m,85.0,91.0,-1.0,16.0,r54c,Rs lft side 10m ^ chute,,recap,,shed since last recapture,nan,2000.0,0.0,autotomized,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.0705882352941176,0.18823529411764706,0,0.0,2000-03-18,796
j,7-11-19,2000-03-18,f,57.0,79.0,0.0,6.1,r55c,Rs lft side 2m ^ 2falls,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3859649122807018,0.10701754385964912,0,0.0,2000-03-18,485
j,7-12-19,2000-03-18,f,60.0,79.0,0.0,7.3,r56c,Rs lft side 2m ^ 2falls,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3166666666666667,0.12166666666666666,0,0.0,2000-03-18,486
j,7-12-20,2000-03-18,m,60.0,85.0,0.0,7.0,r57c,slab?,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4166666666666667,0.11666666666666667,0,0.0,2000-03-18,934
j,6-13-20,2000-03-19,f,60.0,80.0,0.0,6.0,r58c, 5m ^ H5,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,0.1,0,0.0,2000-03-19,459
