,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,lizMark,count,lizardNumber,lizNumber,dateMin,svlMin,yearMin,yearDiff,svlDiff,misclassified
6844,j,3-10-13-18,2005-07-15,f,36.0,48.0,0.0,1.2,w=c,rt side top islane,156,new,painted,, 05-63,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,0.03333333333333333,j3-10-13-18f,1.0,962.0,,,,,,,
7234,j,3-10-13-18,2007-07-09,m,87.0,117.0,0.0,23.7,y37c,wall @ 19,19,new,yes,"T&B rec shed, BSS",07-59,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3448275862068966,0.2724137931034483,j3-10-13-18m,1.0,1420.0,,,,,,,
6849,j,3-10-13-20,2005-07-18,m,39.0,50.0,0.0,1.7,w|ab,R sb,172,new,painted,, 05-65,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.2820512820512822,0.04358974358974359,j3-10-13-20m,1.0,1164.0,,,,,,,
7254,j,3-10-13-20,2007-07-14,f,63.0,71.0,0.0,9.0,y41c,SB juniper crossing,115,new,yes,B rec shed,07-69,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.126984126984127,0.14285714285714285,j3-10-13-20f,1.0,721.0,,,,,,,
6861,j,3-10-15-20,2005-07-22,m,37.0,49.0,0.0,1.6,wvab,rt xing,160,new,painted,, 05-77,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3243243243243243,0.04324324324324325,j3-10-15-20m,4.0,114.0,,,,,,,
7266,j,3-10-15-20,2007-07-14,f,73.0,82.0,20.0,13.3,y50c,R left side SB 4m v pine R,408,recap,yes,rec shed; lose scales,,2007.0,20.0,True,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.1232876712328768,0.1821917808219178,j3-10-15-20f,1.0,656.0,,,,,,,
328,j,3-6-12-20,2000-07-07,m,33.0,40.0,0.0,1.6,w^c,5m ^ S curve,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.2121212121212122,0.048484848484848485,j3-6-12-20m,4.0,91.0,,,,,,,
7602,j,3-6-12-20,2010-07-27,f,63.0,88.0,0.0,8.5,y57c.t,opp 3m ^ slab,265,new,yes,Bss,51-10-cc,2010.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3968253968253967,0.1349206349206349,j3-6-12-20f,1.0,1543.0,,,,,,,
6697,j,3-8-12-16,2004-07-04,f,68.0,81.0,36.0,11.0,wMc,log 6m v 1falls,-6,new,painted,b and t ss,04 30,2004.0,36.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.1911764705882353,0.16176470588235295,j3-8-12-16f,4.0,72.0,,,,,,,
6980,j,3-8-12-16,2005-07-09,m,74.0,84.0,38.0,13.0,w48c,L sb,-25,recap,painted,"B&T shedding; remnant of last yrs mark on B position ""1--""; underline for 100; unsure if caught already this yr",,2005.0,38.0,True,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.135135135135135,0.17567567567567569,j3-8-12-16m,1.0,1585.0,,,,,,,
6710,j,3-8-12-19,2004-07-04,m,29.0,22.0,-1.0,0.5,w|a,sb at H3,177,new,painted,,04 34,2004.0,0.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.7586206896551724,0.017241379310344827,j3-8-12-19m,2.0,305.0,,,,,,,
7524,j,3-8-12-19,2009-07-23,f,44.0,63.0,0.0,2.6,yooc,???,,new,painted,marked with Sv toe combination; could create ID issue,09-91,2009.0,0.0,False,new ,,True,False,False,True,False,False,False,False,True,False,False,False,1.431818181818182,0.05909090909090909,j3-8-12-19f,1.0,906.0,,,,,,,
6812,j,3-8-14-20,2004-07-14,f,32.0,7.0,4.0,1.1,w.b.c,L @ cc/ccc,240,new,painted,, 04-75,2004.0,4.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.21875,0.034375,j3-8-14-20f,1.0,1326.0,,,,,,,
6811,j,3-8-14-20,2004-07-14,m,67.0,92.0,0.0,10.7,wYb,L @ cc/ccc,240,new,painted,, 04-74,2004.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3731343283582091,0.15970149253731342,j3-8-14-20m,1.0,1540.0,,,,,,,
7109,j,3-8-15-18,2006-05-25,m,81.0,50.0,25.0,13.5,w48b,wall-v-talus,314,recap,painted,,,2006.0,25.0,True,recap,,True,False,False,False,False,False,False,False,False,False,False,False,0.6172839506172839,0.16666666666666666,j3-8-15-18m,1.0,968.0,,,,,,,
7275,j,3-8-15-18,2007-07-15,f,38.0,50.0,0.0,1.6,y^ac,right side SB @ 345,345,new,yes,,07-80,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3157894736842106,0.042105263157894736,j3-8-15-18f,3.0,166.0,,,,,,,
6984,j,3-9-11-16,2005-07-08,m,68.0,93.0,0.0,9.0,w46c,2m^ slab opp slab,264,recap,painted,sighted moving downstream possibly in response to the disturbance caused by the capture of w31a,,2005.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3676470588235294,0.1323529411764706,j3-9-11-16m,3.0,129.0,,,,,,,
7278,j,3-9-11-16,2007-07-15,f,38.0,49.0,0.0,1.5,y^bc,R left side by stump,364,new,yes,,07-81,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.2894736842105263,0.03947368421052632,j3-9-11-16f,1.0,1289.0,,,,,,,
