,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,new.recap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl
1701,v,,2002-05-07,,,,,,y47b,R in sb 2m ^ 1tripleR,304,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1702,v,,2002-05-07,,,,,,y48b,R in sb 2m ^ 1tripleR,304,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1707,j,,2002-03-26,,,,,,y62a,1 triple R on right,306,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1708,j,,2002-03-31,,,,,,y65b,1m v 1 triple R in sb,306,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1709,j,,2002-03-31,,,,,,y44a,1 triple R in sb,306,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1710,j,,2002-04-05,,,,,,y62a,1 triple R,306,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1711,j,,2002-04-05,,,,,,y8a,1 triple R,306,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1712,j,,2002-07-12,,,,,,b30c,old triple rock,306,,"r .7, 1",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1713,j,,2002-07-15,,,,,,b30c,R right sb 1m ^ old 1 triple R,306,,"r .8, .8",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1714,v,,2002-04-08,,,,,,y8b,3m ^ 1 triple R in sb,309,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1716,v,,2002-03-20,,,,,,y8b,4m ^ old 1tripleR,310,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1717,j,,2002-03-31,,,,,,y66a,6m ^ 1 triple R on right side,312,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1718,j,,2002-07-20,,,,,,b48c,bottom R outcrop v talus,315,,"r 1, >5",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1719,j,,2002-07-20,,,,,,b30c,bottom R outcrop v talus,315,,"r 1, >5",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1720,j,,2002-07-20,,,,,,b64a,bottom R outcrop v talus,315,,"r 1, >5",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1721,j,,2002-07-18,,,,,,b48c,outcrop 5m v talus,317,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1722,j,,2002-03-20,f,,,,,w||t,L across from wall,318,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1727,j,,2002-07-08,,,,,,b30c,outcrop on left below scree,321,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1728,j,,2002-07-12,,,,,,b48c,wall v talus,321,,"r .5, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1729,j,,2002-07-13,,,,,,b48c,R wall v talus,321,,"r .7, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1730,j,,2002-07-18,,,,,,b30c,R outcrop v talus,321,,"r1, >10",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1731,j,,2002-07-19,,,,,,b48c,top wall v talus 8m up wall on left,321,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1732,j,,2002-07-22,,,,,,b48c,sb @ rock outcrop v talus,321,,g,,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1734,j,,2002-07-19,,,,,,b51c,talus 6m up side from sb,322,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1735,j,,2002-07-18,,,,,,b45c,R @ base of talus,323,,"r .4, .5",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1736,cn,,2002-07-20,,,,,,,sb mid talus,324,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,True,True,,
1738,j,,2002-07-20,,,,,,b45c,R mid talus,324,,"r .5, .7",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1739,j,,2002-07-22,,,,,,b45c,Rs mid-talus,324,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1740,v,,2002-07-20,,,,,,w12a,1m v top [upstream edge of] scree,325,,g,,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1742,v,,2002-04-27,,,,,,y48b,7m v 2 triple R in sb,328,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1743,j,,2002-04-05,,,,,,y27a,6m v 2 triple R in sb,329,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1744,j,,2002-07-22,,,,,,b46c,R mid-sb 5m v 2 triple R,330,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1745,v,,2002-07-22,,,,,,w33a,left sb 5m v 2 triple R,330,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1746,v,,2002-07-20,,,,,,w??a,4m v 2 triple R 5m up side,331,,old mark y4?b visible but couldn't read for certain ,,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1747,j,,2002-07-18,,,,,,b46c,R sb 3m v 2 triple R,332,,"r .2, .2",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1748,v,,2002-04-28,,,,,,y48b,3m v 2 triple R,332,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1749,v,,2002-05-14,,,,,,y48b,3m v 2 triple R,332,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1750,v,,2002-06-06,,,,,,y47b,3m v 2 triple R,332,,gravid,,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1751,cn,,2002-07-05,,,,,,,right side 2m ^ wall 4m v 2 triple R,333,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,True,True,,
1752,j,,2002-07-13,,,,,,b24c,R in sb 2m v 2 triple R,333,,"r .5, .7",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1753,j,,2002-07-20,,,,,,,right side 2m v 2 triple R; bent L between Rs,333,,juvenile; need to capture,,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1755,j,,2002-07-17,,,,,,b48c,2m v talus @ sb halfway between 2 triple R and R outcrop,334,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1756,j,,2002-07-22,,,,,,b-ac,1m v 2 triple R in sb,334,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1758,j,,2002-03-25,,,,,,y14a,2 triple R on right side,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1759,j,,2002-03-31,,,,,,y27a,2 triple R on right side,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1760,j,,2002-03-31,,,,,,y14a,2 triple R on right side,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1761,j,,2002-04-05,,,,,,y14a,2 triple R in sb,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1762,j,,2002-04-14,,,,,,y26a,chute,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1763,j,,2002-05-28,,,,,,y14a,2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1764,j,,2002-06-06,,,,,,y14a,2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
