,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,lizMark,count,lizardNumber,lizNumber,dateMin,svlMin,yearMin,yearDiff,svlDiff,misclassified
7040,j,4-7-15-19,2006-05-28,f,55.0,75.0,0.0,5.8,w50a-b,5m-^bottom-site-in-dead-oak-on-rt-side,-40,new,painted,-60-06,gravid,2006.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3636363636363635,0.10545454545454544,j4-7-15-19f,6.0,29.0,,,,,,,
6061,j,3-7-11-18,2002-07-14,m,66.0,92.0,0.0,10.8,b102t,left downstream 100m v 1 falls,-100,new,,,toes in vial 59-02,2002.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.393939393939394,0.16363636363636366,j3-7-11-18m,5.0,30.0,,,,,,,
5975,j,2-6-15-16,2001-07-14,f,66.0,90.0,0.0,7.7,r42a,sb @ CC/CCC,240,new,,,toes in vial 01-48 only 2 toes,2001.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3636363636363635,0.11666666666666667,j2-6-15-16f,5.0,31.0,,,,,,,
5941,j,1-9-14-19,2001-07-11,f,65.0,92.0,0.0,9.3,w7a,talus 10m v 2 triple R,325,new,,NOTE that same toes used in March 01!!!,toes in vial 01-35 dropped toe #9,2001.0,0.0,False,new,,True,False,False,False,False,False,True,False,False,False,False,False,1.4153846153846157,0.1430769230769231,j1-9-14-19f,5.0,32.0,,,,,,,
7695,j,5-12-16,2012-05-24,m,89.0,119.0,0.0,25.0,w9c,TBss,,new,yes,same as w8c,12-07,2012.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3370786516853932,0.2808988764044944,j5-12-16m,5.0,33.0,,,,,,,
355,j,2-6-12-20,2001-07-25,f,57.0,81.0,0.0,7.0,r88a,slab,262,recap,,,B shed since; Tss ,2001.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.4210526315789471,0.12280701754385966,j2-6-12-20f,5.0,34.0,,,,,,,
339,j,2-6-11-18,2001-07-12,f,38.0,48.0,0.0,1.0,r25a,large R left side sb 5m ^ root xing,165,new,,,toes in vial 01-43,2001.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.263157894736842,0.02631578947368421,j2-6-11-18f,5.0,35.0,,,,,,,
7169,j,12-19,2007-07-06,m,31.0,27.0,1.0,1.0,y-a,root crossing,160,new,yes,,07-22,2007.0,1.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.8709677419354839,0.03225806451612903,j12-19m,5.0,37.0,,,,,,,
164,j,10-15-19,2002-07-13,m,87.0,117.0,0.0,21.0,b50c,wall v wall v juniper xing,85,recap,"r 1.5, >10; painted; old marking of y78a still visible; t ss b dull",,,2002.0,0.0,False,recap,,True,False,True,False,False,False,False,False,False,False,False,False,1.3448275862068966,0.2413793103448276,j10-15-19m,5.0,38.0,,,,,,,
52,j,1-9-13-16,2001-07-11,f,77.0,73.0,33.0,13.6,w4a,wall @ H4/5,201,recap,,,w|c still visible; remarked as w4a; T just shed B ss + soon to shed,2001.0,33.0,True,recap,,True,False,False,False,False,False,True,False,False,False,False,False,0.9480519480519479,0.17662337662337665,j1-9-13-16f,5.0,41.0,,,,,,,
94,j,8-14-20,2002-07-04,f,77.0,90.0,5.0,10.0,b17c,T on wall right side,15,recap,painted; looks like shed since last capture but some scales are yellowish which is the color of the paint used in sp '02 [possible confusion?],,,2002.0,5.0,True,recap,,True,False,True,False,False,False,False,False,False,False,False,False,1.1688311688311688,0.12987012987012986,j8-14-20f,5.0,43.0,,,,,,,
8,j,1-14-19,2000-07-10,f,65.0,90.0,0.0,9.0,w++b,R outcrop 20m^cave trail,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.3846153846153846,0.13846153846153847,j1-14-19f,5.0,45.0,,,,,,,
