,autotomized,date,drop_morphometrics,drop_species,forceFemale,forceMale,forceNew,forceRecap,forceSighting,location,mass,meters,misc,new.recap,new.recap_orig,paint.mark,painted,review_new.recap,review_painted,review_rtl,review_sex,review_species,rtl,rtl_orig,sex,sighting,species,svl,tl,toes,vial,year
21,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs opp pineR,9.8,NA,shed since last recapture,recap,recap,r21c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,67,88,5-6-13-20,NA,2000
22,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs opp pineR,6.6,NA,NA,new,new,r23c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,62,85,9-13-20,NA,2000
23,FALSE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs opp pineR,8.5,NA,NA,new,new,r24c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,70,98,9-14-19,NA,2000
24,TRUE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2falls,7.3,NA,NA,new,new,r25c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,25,25,m,NA,j,64,74,9-14-20,NA,2000
25,TRUE,2000-03-17T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,H5,14.3,NA,not shed since last recapture (added r26c to the existing mark o.t),recap,recap,o.t/r26c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,20,20,f,NA,j,78,77,4-14-20,NA,2000
26,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall at H5,6.5,NA,"shed since last recapture; marked originally as 1-13-16 on 9VII99, remarked as 1-9-13-16 on 19III00",recap,recap,r27c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,50,76,1-9-13-16,NA,2000
27,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CC/CCC,3.8,NA,NA,new,new,r28c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,50,72,9-15-19,NA,2000
28,TRUE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CC/CCC,18.2,NA,shed since last recapture,recap,recap,r29c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,29,29,m,NA,j,84,45,1-7,NA,2000
29,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,big stump just above CC/CCC,3.8,NA,NA,new,new,r30c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,51,65,9-15-20,NA,2000
30,TRUE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,big stump just above CC/CCC,10.2,NA,shed since last recapture,recap,recap,r31c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,41,41,f,NA,j,66,67,5-9-11-18,NA,2000
31,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5m^wall from sb10m^slab,8,NA,NA,new,new,r32c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,64,91,8-11-19,NA,2000
32,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5m^wall from sb10m^slab,5.8,NA,toe13 may be a natural loss; doesn't match up with past records,?,?,r33c,NA,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,55,72,,NA,2000
33,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2m^ 1 tripleR,10,NA,shed since last recapture,recap,recap,r34c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,68,94,5-7-13-18,NA,2000
34,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs opp 2tripleR,4.5,NA,NA,new,new,r35c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,56,70,8-11-20,NA,2000
35,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3m^chute on Rs,3.7,NA,shed since last recapture,recap,recap,r36c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,50,68,1-12-18,NA,2000
36,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3m^chute on Rs,6.5,NA,some loose scales on B just ^ T,new,new,r37,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,59,70,8-12-19,NA,2000
37,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pool v 2falls,4.2,NA,NA,new,new,r38c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,55,75,8-12-20,NA,2000
38,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pool v 2falls,14.5,NA,NA,new,new,r39c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,76,105,8-13-19,NA,2000
39,TRUE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pool v 2falls,15,NA,NA,new,new,r40c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,6,6,f,NA,j,80,93,8-13-20,NA,2000
